Time Of Stop,Location,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,State,VehicleType,Make,Model,Color,Violation Type,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type
12,DARNESTOWN RD/ARGOSY DR,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,LEXUS,ES300,MAROON,Citation,Transportation Article,Yes,OTHER,M,BOYDS,MD,MD,A - Marked Patrol
23,DEMOCRACY/BELLS MILL,No,No,No,No,No,No,No,MD,02 - Automobile,CHEV,2D,BLUE,Warning,Transportation Article,Yes,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol
9,MONTROSE AVE AND TUCKERMAN LANE,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,TOYOTA,HIGHLANDER,GREEN,Warning,Transportation Article,Yes,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol
7,KEMP MILL ROAD @ MONTICELLO AVENUE,Yes,No,No,No,No,No,No,MD,02 - Automobile,MITSUBISHI,LANCER,BLACK,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
16,9731 TRAVILLE GATEWAY DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,SUV,BLUE,Citation,Transportation Article,Yes,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol
6,RIDGE ROAD @ TUNE AVE,No,Yes,No,No,No,No,No,MD,02 - Automobile,MERZ,C250,BLACK,Citation,Transportation Article,Yes,BLACK,F,WOODBINE,MD,MD,A - Marked Patrol
4,SB I270 @ MONTGOMERY VILLAGE AVENUE,No,No,No,No,Yes,No,No,VA,02 - Automobile,FORD,F150,MAROON,Citation,Transportation Article,Yes,WHITE,M,CLIFTON,VA,VA,A - Marked Patrol
8,MUDDY BRANCH RD @ SUFFIELD DR,Yes,Yes,No,No,No,No,No,MD,28 - Other,CHEV,TK,MULTICOLOR,Citation,Transportation Article,Yes,BLACK,M,OWINGS MILLS,MD,MD,B - Unmarked Patrol
9,RICHTER FARM ROAD @ CHATTERLY PLACE,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYT,4S-CAMRY,GRAY,Citation,Transportation Article,Yes,BLACK,F,GAITHERSBURG,MD,TN,A - Marked Patrol
3,2810 DENLEY PL,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,RED,Citation,Transportation Article,Yes,HISPANIC,M,WHEATON,MD,MD,A - Marked Patrol
17,NB GEORGIA AVE/BLUERIDGE,No,No,No,No,No,No,No,MD,02 - Automobile,MAZDA,CRX7,SILVER,Citation,Transportation Article,Yes,BLACK,F,KENSINGTON,MD,MD,A - Marked Patrol
7,22600 BLK RIDGE RD,No,Yes,No,No,No,No,No,MD,05 - Light Duty Truck,CHEVROLET,SILVERADO,SILVER,Citation,Transportation Article,Yes,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol
21,UNIVERSITY BLVD EB / ARCOLA AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,PATRIOT,GREEN,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
9,RT. 27 @ RT. 355,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,DODG,2500 PU,MAROON,Citation,Transportation Article,Yes,WHITE,M,MT. AIRY,MD,MD,A - Marked Patrol
7,GEORGIA AVE/BEL PR RD,Yes,Yes,No,No,No,No,No,MD,28 - Other,HONDA,ODYSSEY,BLUE,Citation,Transportation Article,Yes,WHITE,F,OLNEY,MD,MD,A - Marked Patrol
21,MUNCASTER MILL RD/SHADY GROVE RD,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,BLACK,Citation,Transportation Article,Yes,HISPANIC,F,ROCKVILLE,MD,MD,A - Marked Patrol
17,RANDOLPH RD @ LIVINGSTON STREET,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,TUNDRA,RED,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
23,CONNECTICUT AT INDEPENDANCE,No,No,Yes,No,No,No,No,MD,02 - Automobile,MERC,TRACER,MAROON,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
23,GEORGIA AVE @ CHERRY VALLEY LANE,No,No,No,No,No,No,No,MD,02 - Automobile,HONDA,ODYSSE,BEIGE,ESERO,,Yes,ASIAN,M,ELLICOT CITY,MD,MD,A - Marked Patrol
20,14202 GRAND PRE RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,MUSTANG,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
12,STRATHMORE AVE @ FLANDERS AVE,No,No,No,No,No,No,No,MD,02 - Automobile,BMW,525I,GOLD,Citation,Transportation Article,Yes,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol
1,EMORY GROVE RD/ HIDDEN FIELD DR,No,Yes,No,No,No,No,No,MD,02 - Automobile,DODGE,CHARGER,BLACK,Citation,Transportation Article,Yes,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol
13,REDLAND / SOMERVILLE,No,No,No,No,No,No,No,MD,02 - Automobile,HOND,CIVIC,SILVER,Citation,Transportation Article,Yes,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol
19,GEORGIA AVE / REEDIE DR,No,Yes,No,No,No,No,No,MD,02 - Automobile,TOYOTA,RAV4,MAROON,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
18,355 @ BOLAND FARM RD,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,SILVER,Warning,Transportation Article,Yes,OTHER,F,CLARKSBURG,MD,MD,A - Marked Patrol
1,3413 EMDEN STREET,No,No,Yes,No,No,No,No,MD,02 - Automobile,NISSAN,ALTIMA,WHITE,Citation,Transportation Article,Yes,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol
15,ENTRANCE TO 983 CLOPPER RD,Yes,No,No,No,No,No,No,MD,05 - Light Duty Truck,KIA,SPORTAGE,RED,Citation,Transportation Article,Yes,BLACK,M,BOYDS,MD,MD,A - Marked Patrol
17,SB 29 / BLACKBURN RD,No,No,Yes,No,No,No,No,MD,28 - Other,NISSAN,PATHFINDER,BLACK,Citation,Transportation Article,Yes,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol
15,GEORGIA AVE AT HEATHFIELD RD,No,No,No,No,No,No,No,VA,02 - Automobile,TOYOTA,CAMRY,GRAY,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,VA,A - Marked Patrol
16,11409 ROCKVILLE PIK,No,Yes,No,No,No,No,No,MD,01 - Motorcycle,KYMC,MC,SILVER,Citation,Transportation Article,Yes,WHITE,M,KENSINGTON,MD,MD,B - Unmarked Patrol
3,DENLEY AT GOULD,No,No,Yes,No,No,No,No,MD,02 - Automobile,ISU,SU,TAN,Citation,Transportation Article,Yes,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol
22,WISCONSIN AVE @ COMMERCE LANE,No,Yes,No,No,No,No,No,MD,02 - Automobile,MERC,4H,WHITE,Citation,Transportation Article,Yes,WHITE,M,BALTIMORE,MD,MD,A - Marked Patrol
4,GEORGIA AVE / 495,No,No,No,No,No,No,No,NC,02 - Automobile,TOYOTA,COROLLA,SILVER,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
15,COLESVILLE RD @ OAK LEAF DR,No,Yes,No,No,No,No,No,DC,04 - Limousine,LINCOLN,TOWN CAR,BLACK,Citation,Transportation Article,Yes,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol
13,WISCONSIN AVE AND COMMERCE LANE,No,No,Yes,No,No,No,No,MD,02 - Automobile,VOLKSWAGEN,BEETLE,BLACK,Citation,Transportation Article,Yes,BLACK,M,BOWIE,MD,MD,A - Marked Patrol
23,NB 29 / GREENCASTLE RD,No,No,No,No,No,No,No,MD,02 - Automobile,NISSAN,SENTRA,BLUE,Citation,Transportation Article,Yes,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol
18,MIDDLEBROOK RD@CELEBRATION DR,No,No,No,No,No,No,No,MD,02 - Automobile,CHEVROLET,MALIBU,GRAY,Citation,Transportation Article,Yes,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol
15,SEMINARY RD AT SECOND AVENUE,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,RED,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
7,SNOUFFER SCHOOL @ LEWISBERRY RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,CHEVY,TAHOE,MAROON,Citation,Transportation Article,Yes,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol
12,OLD GEORGETOWN RD/ TUCKERMAN LN,No,No,Yes,No,No,No,No,MD,01 - Motorcycle,BMW,4S,BLACK,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
9,FENTON ST/BONIFANT ST,No,No,No,No,No,No,No,MD,02 - Automobile,CHEVY,IMPALA,SILVER,Citation,Transportation Article,Yes,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol
19,VEIRS MILL RD @ ARDENNES AVE,No,No,Yes,No,No,No,No,VA,02 - Automobile,TOYT,COROLLA,BEIGE,Citation,Transportation Article,Yes,WHITE,M,FALLS CHURCH,VA,VA,A - Marked Patrol
2,1226 CLAGETT DR,No,No,No,No,No,No,No,MD,02 - Automobile,GMC,YUKON,GREEN,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,TX,A - Marked Patrol
8,PKG LOT GERMANTOWN EMG CT 19731 GERM RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHRY,PACIFICA,SILVER,Citation,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol
4,11221 LOCKWOOD DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,NISSAN,ALTIMA,WHITE,Citation,Transportation Article,Yes,BLACK,M,WHEATON,MD,MD,A - Marked Patrol
1,2334 GLENMONT CIRCLE,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,GREEN,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
8,9300BLK SB NEW HAMPSHIRE AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,"GREEN, DK",Citation,Transportation Article,Yes,BLACK,M,LAUREL,MD,MD,A - Marked Patrol
18,UNIVERSITY BLVD W @ COLESVILLE RD,No,Yes,No,No,No,No,No,XX,29 - Unknown,NONE,NONE,N/A,Citation,Transportation Article,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol
14,SB WOODFIELD @ BRINK RD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,SILVER,Citation,Transportation Article,Yes,OTHER,F,GAITHERSBURG,MD,MD,A - Marked Patrol
16,355/TRAVIS AVE,No,No,No,No,No,No,No,VA,02 - Automobile,TOYOTA,CAMRY,GRAY,Warning,Transportation Article,Yes,ASIAN,M,ASHBURN,VA,VA,A - Marked Patrol
21,2900 UNIVERSITY BLVD W.,Yes,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,CHEVY,EXPRESS,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol
16,NEW HAMPSHIRE AVE AND OAKVIEW DR,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,BLACK,Warning,Transportation Article,Yes,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol
15,VEIRS MILL RD/UNIVERSITY BOULEVARD,No,No,Yes,No,No,No,No,MD,02 - Automobile,SUZUKI,4S,BLACK,Citation,Transportation Article,Yes,OTHER,F,WHEATON,MD,MD,A - Marked Patrol
5,4965 NICHOLSON CT,No,No,Yes,No,Yes,No,No,MD,10 - Transit Bus,ORION,BUS,BLUE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
18,E JEFFERSON ST / MARYLAND AVE,No,Yes,No,No,No,No,No,MD,02 - Automobile,MERZ,4S,SILVER,Citation,Transportation Article,Yes,WHITE,F,BOYDS,MD,MD,A - Marked Patrol
8,NEW HAMPSHIRE / 495,Yes,Yes,No,No,No,No,No,DC,02 - Automobile,HONDA,CRV,GOLD,Citation,Transportation Article,Yes,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol
22,LAYTONSVILLE ROAD @ ROCKY ROAD,No,No,No,No,No,No,No,MD,02 - Automobile,FORD,EXPEDITION,BLACK,Citation,Transportation Article,Yes,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol
21,RANDOLPH ROAD @ BUSHEY DRIVE,No,No,No,Yes,No,No,No,MD,02 - Automobile,FORD,F-150,RED,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
18,355 NB @ OLD WEST BALTIMORE,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,NISS,4S,RED,Citation,Transportation Article,Yes,OTHER,M,BOYDS,MD,MD,A - Marked Patrol
23,STEWART LN/ OLD COLUMBIA PIKE,No,No,Yes,No,No,No,No,DC,03 - Station Wagon,HONDA,CIVIC,BLACK,Citation,Transportation Article,Yes,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol
20,RAILROAD ST AT E DEER PARK RD,No,No,No,No,No,No,No,MD,02 - Automobile,NISSAN,ALTIMA,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol
7,13521 CONNECTICUT AVE,No,Yes,No,No,No,No,No,DE,02 - Automobile,HONDA,CIVIC,GRAY,Citation,Transportation Article,Yes,BLACK,F,NEWARK,DE,DE,A - Marked Patrol
